"","tract","land_area","water_area","med_age","Occupied_housing_units","renter_occupied","med_income","mean_income","perc_female","perc_male","perc_black","perc_asian","perc_white","perc_latino","perc_other","house_with_child","renter","highschool","associate","some_college","bachelor","graduate","year_65_up","eight_to_24","unemployment_rate","per_cap_income","tot_pop","income_15_to_24","income_35_to_49","income_50_to_74","income_75_to_99","income_100_to_149","non_cit","foreign","perc_foreign_pop"
"32","006504",608461,0,42.4,878,369,28462,71684,50.6,49.4,0,0,11.2,87.5,1.3,30.6,50.2,26.2,6.1,12.7,24.5,13.2,15.8,8.3,5,24835,2710,12.4,20.8,21.9,8.7,18.1,21.8,1603,59.2
"33","006601",1495807,0,39.6,2878,1849,26664,64217,55.6,44.4,1.6,2.1,12.7,83.7,0,23.9,67.8,18.9,10.4,11.3,21.9,12.8,21.3,5.1,3.9,24864,7062,20.7,14.4,12.5,13.3,7.4,31.6,4423,62.6
"34","005202",482041,13406,36.7,1953,1798,17847,35834,42.7,57.3,2.9,0,2.7,93.9,0,26.9,93.1,37.2,3.4,11.9,4.1,0.7,15.3,8,12,12902,6043,24.3,21.3,14.6,4.6,1.8,50.2,4342,71.9
"35","001904",1121330,0,36.2,1415,844,17515,29525,57.6,42.4,84.1,0,0.9,14.4,0,26.4,78.4,44.3,4,16.2,5.7,1.5,12.3,11.4,18.8,10467,4560,19.5,11.9,15.7,4.1,0,5.1,435,9.5
"36","006713",96465,0,32.3,894,541,60859,110396,53,47,0.3,2,33.4,63.3,0,26,72.5,14.8,3.4,8.8,32.2,40.4,2.1,5.1,6.2,51657,2431,24.9,6.8,4.6,7.2,15.9,30.8,1088,44.8
"37","006402",665133,0,42.2,1252,790,21437,58385,51.7,48.3,1.2,0,3.7,95.1,0,23.1,62.3,31.5,7.6,14,18.4,9.4,20.8,6.6,11.3,20487,3830,13,10.4,10,10.9,4.9,34.8,2860,74.7
"38","007103",334038,0,36,947,486,43043,94506,52.4,47.6,2.2,2.2,52.4,41.2,0.6,12.5,55.1,5.3,16,6.2,33.4,37.3,13.3,4.7,2.5,54763,1640,4.9,1.7,22.4,8.7,22.1,10,488,29.8
"39","005600",1313020,0,45.6,1748,765,24345,59677,53.9,46.1,0.1,0.4,6,93.2,0.1,20.4,46.8,31,9.9,14.8,15.4,7.5,24.2,8.5,12.7,21631,5584,25.1,13.2,15,11.1,11.9,20.9,3598,64.4
"40","003602",698308,52271,40.3,3136,2691,21296,37181,47.3,52.7,1.8,0,6.3,91.7,0.2,20.1,83,31.1,8.2,7.2,12.8,4.8,17.9,2.7,5.1,13691,7438,19.4,20.4,17.2,5.2,1.7,42.3,5295,71.2
"41","002004",715951,0,34.6,980,802,18763,47863,51.8,48.2,73.8,0,1.5,24.4,0.1,23.6,85.6,35,4.6,14.4,2.8,0.2,12.7,10.7,13.9,14064,3449,15.2,19.8,14.8,2.1,6,27.9,1620,47
