"","TRACTCE10","cluster","state","county","tot_pop","med_income","per_cap_income","perc_under_poverty","perc_unemployment_rate","perc_white","perc_aa","perc_hispanic","perc_other_race","perc_ed_high","perc_ed_college","perc_ed_att_col_deg","perc_other_ed","perc_citizen","perc_non_citizen","tourist"
"123","006504",3,12,86,2710,50360,24835,14.3,5,11.2,0,87.5,1.3,26.2,24.5,13.2,36.1,78.2,21.8,"N.Tourist"
"124","006601",3,12,86,7062,34152,24864,19.3,3.9,12.7,1.6,83.7,2,18.9,21.9,12.8,46.4,68.5,31.5,"N.Tourist"
"125","006705",4,12,86,3101,88024,84907,11.9,4.9,41.7,2,51.7,4.6,6.8,25.8,41.8,25.6,75.7,24.3,"N.Tourist"
"126","006709",2,12,86,1163,105313,111292,15.4,1.3,46.1,7.2,36.1,10.6,8.5,33,37.7,20.8,68.6,31.4,"N.Tourist"
"127","006714",4,12,86,1782,71046,53194,16.6,3.8,31.8,0,63.4,4.8,5.1,35.8,40,19.1,73.1,26.9,"N.Tourist"
"128","006802",3,12,86,3567,121406,83349,7.7,3.7,50.4,1.1,47,1.5,7.2,35.5,34.3,23,95,5,"Tourist"
"129","006900",3,12,86,6441,47894,29341,17,6.3,14.1,0.4,83.3,2.2,24.8,20.5,13.2,41.5,75.3,24.7,"N.Tourist"
"130","007002",3,12,86,7763,41103,23621,22.8,10.4,7.1,2.5,89.8,0.6,31.6,21.7,6.4,40.3,66,34,"N.Tourist"
"131","007200",3,12,86,3049,31250,22891,30,15.2,13.4,70.1,16.2,0.3,31.5,16.4,13,39.1,89.7,10.3,"Tourist"
"132","007300",3,12,86,4014,156938,86325,7.5,8.2,53.7,1.2,41.6,3.5,7.2,31.5,41.7,19.6,87.9,12.1,"Tourist"
"133","007501",2,12,86,2997,144107,72887,6.3,2.7,33.2,2.2,63.4,1.2,8.7,34.7,36.6,20,95.1,4.9,"N.Tourist"
"134","007503",2,12,86,927,97885,51038,13.4,0.6,51.7,0,42.9,5.4,11.9,23,44.4,20.7,92.7,7.3,"N.Tourist"
"135","007603",2,12,86,3743,31595,19127,27.1,21.8,21.8,37.2,38.3,2.7,33.1,12.1,16.3,38.5,86.9,13.1,"N.Tourist"
"136","007605",1,12,86,4156,62875,36412,16.6,6.4,29.1,1.9,63.1,5.9,11.3,28.9,24.7,35.1,81.3,18.7,"N.Tourist"
"137","007702",1,12,86,6224,81125,43277,8.5,1.1,19.8,0.5,78.8,0.9,20.8,22.7,14.8,41.7,86.6,13.4,"N.Tourist"
"138","007705",1,12,86,4628,57457,40943,7.2,9,15.7,3.4,77.4,3.5,18,27.8,25.4,28.8,79.5,20.5,"N.Tourist"
"139","007806",2,12,86,4396,229063,97160,3.6,5.4,44.9,1,48.1,6,9.8,32.6,35.3,22.3,92.5,7.5,"N.Tourist"
"140","007807",2,12,86,4531,106886,67957,3.6,4.9,44.7,0.2,49.4,5.7,8,26,37.1,28.9,86.1,13.9,"N.Tourist"
"141","007902",1,12,86,3165,113598,85565,3,0,50,0,44.7,5.3,6.1,37,30.2,26.7,90.5,9.5,"N.Tourist"
"142","008304",1,12,86,8869,41957,18508,20,16.5,4.2,73.8,21.5,0.5,42.3,8.3,6.1,43.3,90.2,9.8,"N.Tourist"
"143","008305",1,12,86,5338,83681,39184,7.6,4.2,35.2,10.8,49.8,4.2,18.6,29.8,20.4,31.2,87.6,12.4,"N.Tourist"
"144","008306",1,12,86,8690,54875,19760,14.8,12.7,8.3,32.4,52.4,6.9,33.7,13.4,6.5,46.4,76.7,23.3,"N.Tourist"
"145","008307",1,12,86,7181,51313,17151,17,10.8,9.1,37.4,48.4,5.1,38.6,14,4.4,43,76.2,23.8,"N.Tourist"
"146","008308",1,12,86,5584,47621,19014,19.8,7.7,15.6,30.4,51,3,27.1,20.7,6.6,45.6,73.7,26.3,"N.Tourist"
"147","008309",1,12,86,4851,29539,9945,46.2,21.2,2.9,80.4,15.2,1.5,51.2,4.5,1.9,42.4,96.2,3.8,"N.Tourist"
"148","008405",1,12,86,5804,90000,51419,9,8.1,35.5,1.9,59.3,3.3,20,19,28.1,32.9,90.8,9.2,"N.Tourist"
"149","008409",1,12,86,5492,72298,44936,6.6,5.6,30.8,6.4,53.4,9.4,19.7,25.7,16.8,37.8,94.7,5.3,"N.Tourist"
"150","008601",1,12,86,4836,47250,21251,12.5,3.7,6.7,0.2,88.1,5,32.3,17.4,13.1,37.2,71.2,28.8,"N.Tourist"
"151","008803",1,12,86,6710,38105,20676,22.8,5.9,5.9,0,93.8,0.3,33.7,20.3,7.9,38.1,77.1,22.9,"N.Tourist"
"152","008805",1,12,86,5643,29512,13557,27.2,3.6,5,0.7,94.2,0.1,41.6,12.5,3,42.9,69.1,30.9,"N.Tourist"
"153","008806",1,12,86,4172,45368,19267,14.8,5.2,3.9,0.1,95.8,0.2,31.6,24.9,5.9,37.6,71.6,28.4,"N.Tourist"
"154","008901",1,12,86,7419,79436,27752,7.4,4,5,0.1,94.9,0,32.8,16,12.2,39,90.7,9.3,"N.Tourist"
"155","008902",1,12,86,6334,41500,22125,9.8,9.2,5,0.6,94.3,0.1,36.1,17.7,9.6,36.6,76.4,23.6,"N.Tourist"
"156","008907",1,12,86,4750,44459,21679,14.2,5.5,9.9,0.3,84.1,5.7,31.3,20.9,11.8,36,77.9,22.1,"N.Tourist"
"157","009006",1,12,86,10404,47859,21784,13.6,10,4.7,2.1,91.3,1.9,21,22.4,8.4,48.2,77,23,"N.Tourist"
"158","009010",1,12,86,4961,87879,32552,4.2,9.3,15.6,0.2,83.6,0.6,24.9,25.8,18.3,31,75.7,24.3,"Tourist"
"159","009015",1,12,86,5689,38791,21947,14.3,4.7,4.5,0,94.8,0.7,29.7,20.3,11.2,38.8,71.9,28.1,"N.Tourist"
"160","009017",2,12,86,6297,34628,14310,23.5,8.9,3.4,0,94.6,2,34.6,10.5,4.5,50.4,65.4,34.6,"N.Tourist"
"161","009019",1,12,86,4783,58583,22225,7.3,6.6,3,0.3,95.9,0.8,24,19.6,7.9,48.5,91.7,8.3,"N.Tourist"
"162","009020",2,12,86,2859,24907,14543,26.6,10.6,2,0,98,0,29.5,14.7,2.9,52.9,60.6,39.4,"N.Tourist"
"163","009021",2,12,86,5160,36534,13516,27.5,2.4,1.8,0.5,96.7,1,31.1,11.4,4.1,53.4,61.2,38.8,"N.Tourist"
"164","009024",4,12,86,5135,50105,20991,13.4,6.6,6.4,1.3,88,4.3,22.5,25.3,8.3,43.9,63.8,36.2,"N.Tourist"
"165","009026",1,12,86,2286,23631,12481,23.4,3.5,4.5,0,93.6,1.9,33.1,17.4,2.6,46.9,68,32,"N.Tourist"
"166","009030",1,12,86,5293,44182,17874,16.3,10.1,3.7,0.5,95.2,0.6,27.6,20.9,5.7,45.8,60.7,39.3,"N.Tourist"
"167","009031",4,12,86,3677,42961,18377,17.8,8.1,2.9,0.4,94.4,2.3,35.5,20.3,4.7,39.5,64.5,35.5,"N.Tourist"
"168","009034",2,12,86,8216,77599,32409,9.8,4.9,14.2,3.5,73.6,8.7,14.8,33,18.2,34,73.6,26.4,"N.Tourist"
"169","009038",4,12,86,8816,74336,26176,10,6.6,10.6,3.5,82.7,3.2,18.2,41.8,13.2,26.8,63.7,36.3,"N.Tourist"
"170","009040",2,12,86,663,75813,33811,14.5,9.5,6,4.1,89.9,0,20.5,12.6,24.7,42.2,56.1,43.9,"N.Tourist"
"171","009043",4,12,86,4963,86436,26109,14,1.4,10.6,1.2,87.1,1.1,11.4,44.1,24.8,19.7,67.7,32.3,"N.Tourist"
"172","009044",4,12,86,2359,36303,17040,31.7,2.6,6.2,0,92.6,1.2,21.7,35.9,17.5,24.9,39.1,60.9,"N.Tourist"
"173","009047",4,12,86,3235,57813,22962,15.6,5,9.9,3.2,84.7,2.2,20.6,41.9,12,25.5,52.7,47.3,"N.Tourist"
"174","009100",1,12,86,8851,37106,12769,27,11.8,5.9,13.9,79.4,0.8,34.8,7.5,3.8,53.9,69.7,30.3,"N.Tourist"
"175","009305",2,12,86,4883,69032,33039,8.1,4.6,20.9,0.9,77.1,1.1,23,22.7,13.8,40.5,90.8,9.2,"N.Tourist"
"176","009308",2,12,86,8144,19568,11668,45.6,13.5,3.7,0.1,93.9,2.3,32.3,7.4,2.9,57.4,48.1,51.9,"N.Tourist"
"177","009309",2,12,86,7624,30376,14758,20.9,5.9,3.1,0,96.9,0,34.9,8.9,4.3,51.9,73.7,26.3,"N.Tourist"
"178","009311",2,12,86,6562,35757,17901,19.4,8,2.8,0.3,96.2,0.7,33.3,13.3,6.6,46.8,69.2,30.8,"N.Tourist"
